Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
54865,3,2,0,12,0,6,6,6.0,0,0,0,0.0,0,4000000,6666666667.0,3.0,0,3,3,3,3.0,0,3,3,0,0.0,0.0,0,0,0,0,0,0,0,6666666667.0,0.0,6,6,6.0,0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,33,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,1293792,3,7,26,11607,20,0,8666666667.0,1026320288,5840,0,1658142857.0,213729708,8991398927,772921768.0,1437546667.0,4308658067,1292730,2,747,373.5,5239661249,744,3,1293746,2156243333.0,5276719348.0,1292730,2,0,0,0,0,152,2318765304.0,5410452376.0,0,5840,1057545455.0,1853437529,3435230673.0,0,0,0,1,0,0,0,0,2,1163.3,8666666667.0,1658142857.0,72,0,0,0,0,0,0,3,26,7,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,4421382,4,0,24,0,6,6,6.0,0,0,0,0.0,0,542816703,0.904694505,1473794.0,2552042631,4420639,340,4421382,1473794.0,2552042631,4420639,340,0,0.0,0.0,0,0,0,0,0,0,0,0.904694505,0.0,6,6,6.0,0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0,0,0,0,0,0,0,0,DDoS
80,1083538,3,6,26,11601,20,0,8666666667.0,1026320288,4380,0,1933.5,1757789948,1073058813,8306123089.0,135442.25,377725315,1070206,41,12982,6491.0,8165669109,12265,717,1083407,216681.4,4771670977.0,1070206,41,0,0,0,0,132,2768707696.0,5537415393.0,0,4380,1162.7,1645241762,2706820456.0,0,0,0,1,0,0,0,0,2,1291888889.0,8666666667.0,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
58644,1,2,0,12,0,6,6,6.0,0,0,0,0.0,0,12000000,2000000.0,1.0,0,1,1,1,1.0,0,1,1,0,0.0,0.0,0,0,0,0,0,0,0,2000000.0,0.0,6,6,6.0,0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
58643,87,1,1,6,6,6,6,6.0,0,6,6,6.0,0,1379310345,2298850575.0,87.0,0,87,87,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,1149425287.0,1149425287.0,6,6,6.0,0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,30,255,0,20,0,0,0,0,0,0,0,0,BENIGN
80,5021059,6,5,703,1414,356,0,1171666667.0,1815361305,1050,0,282.8,456923626,4216242032,2190772903.0,502105.9,1568379157,4965658,19,55401,11080.2,1761266701,41863,19,5020928,1255232.0,2499939593.0,5005133,1053,0,0,0,0,168,1194967038.0,0.995805865,0,1050,1764166667.0,3174711034,1007879015.0,0,0,0,1,0,0,0,0,0,1924545455.0,1171666667.0,282.8,200,0,0,0,0,0,0,6,703,5,1414,29200,243,2,32,0,0,0,0,0,0,0,0,PortScan
80,70,1,1,0,0,0,0,0.0,0,0,0,0.0,0,0,2857142857.0,70.0,0,70,70,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,1428571429.0,1428571429.0,0,0,0.0,0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,253,243,0,32,0,0,0,0,0,0,0,0,PortScan
80,5024211,6,5,703,1414,356,0,1171666667.0,1815361305,1050,0,282.8,456923626,4213596921,2189398495.0,502421.1,1567646993,4963884,19,60327,12065.4,1790339797,42441,19,5024076,1256019.0,2498298343.0,5003449,948,0,0,0,0,168,1194217361.0,0.995181134,0,1050,1764166667.0,3174711034,1007879015.0,0,0,0,1,0,0,0,0,0,1924545455.0,1171666667.0,282.8,200,0,0,0,0,0,0,6,703,5,1414,29200,243,2,32,0,0,0,0,0,0,0,0,PortScan
80,5216127,3,1,0,0,0,0,0.0,0,0,0,0.0,0,0,0.766852494,1738709.0,3010454167,5214882,124,5216127,2608063.5,3686598077,5214882,1245,0,0.0,0.0,0,0,0,0,0,0,40,0.575139371,0.191713124,0,0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Brute Force
